,id,post
0,1650725457.801289,😭 https://www.snopes.com/fact-check/valentines-day-invented-greeting-card-companies/  #holiday VALENTINES DAY was INVENTED by GREETING CARD companies 😫 😞 😫 😡 ❗FALSE❗
1,1650725541.455927,❗MISCAPTIONED❗ A VIDEO shows TRUCKERS from South CAROLINA on their way to join a FREEDOM CONVOY in Canada 😔 https://www.snopes.com/fact-check/freedom-convoy-canada/  #truck
2,1650725359.841572,❗FALSE❗ 🔫 😔 😫 https://www.snopes.com/fact-check/unique-tip-automatic-headlights/ 🔫 🔫  #automatic An online ADVERTISEMENT revealed an unusual or unique tip or TRICK for CARS with AUTOMATIC HEADLIGHTS
3,1650725367.087319,https://www.snopes.com/fact-check/putin-bombs-biden-owned-villa/ 😫 😩 😩 ❗FALSE❗  #real 💀 😔 RUSSIA BOMBED a Bidenowned VILLA and several US BIOLABS in UKRAINE
4,1650750681.788327, #president In September 2021 an initial news release announcing US Rep LAUREN BOEBERTS IMPEACHMENT articles again President Joe BIDEN and Vice President Kamala Harris included the misspelled slogan IMEACH BIDEN 👏 ❗TRUE❗ https://www.snopes.com/fact-check/lauren-boebert-imeach-biden/
5,1650750888.573073,😡 █ https://www.snopes.com/fact-check/stanford-nih-mask-study/ 😴 ❗FALSE❗ 🔫  #scientific  #medical  #hypothesis A StanfordNIH study concluded that FACE MASKS worn to PREVENT COVID19 TRANSMISSION do not work
6,1650750854.856527,https://www.snopes.com/fact-check/martin-luther-plague-quote/ 😔 😪 ❗CORRECT-ATTRIBUTION❗ In 1527 MARTIN LUTHER wrote of the BLACK Death I shall ask God to mercifully PROTECT us and I shall not avoid person or place but will go freely 😩  #plague  #death
7,1650750707.317591, ❗FALSE❗ https://www.snopes.com/fact-check/kamala-harris-mccain-vietnam/ 😴 In late August 2021 Vice President Kamala Harris mistakenly laid a WREATH commemorating John MCCAIN at a MEMORIAL in HANOI that supposedly celebrates the shooting down of his plane and his capture by the North VIETNAMESE
8,1650725240.965843,★ https://www.snopes.com/fact-check/disney-repeal-dont-say-gay-bill/ ❗TRUE❗ The DISNEY Corporation VOWED to help REPEAL FLORIDAS Dont Say GAY bill saying it should never have passed and should never have been signed into law  💜
9,1650750797.424343, #government  #offense  #theft  #criminal 😘 👌 😀 ❗TRUE❗ In September 2021 the UK government announced its intention to create a new CRIMINAL offense of PET ABDUCTION https://www.snopes.com/fact-check/uk-pet-theft-abduction-law/
